dimension,workgroup-size,performance
512,4,6320
512,8,5010
512,16,5506
512,32,5542
512,64,9241
512,128,23073
1024,4,14444
1024,8,10838
1024,16,10077
1024,32,10289
1024,64,13846
1024,128,29608
1792,4,83290
1792,8,39190
1792,16,33582
1792,32,23738
1792,56,21304
1792,64,20565
1792,112,29331
1792,128,33588
2048,4,76424
2048,8,50948
2048,16,51292
2048,32,41629
2048,64,38408
2048,128,51783
3584,4,454899
3584,8,300008
3584,16,261813
3584,32,167050
3584,56,135065
3584,64,135418
3584,112,124807
3584,128,131852
